X,y
kinda like easy understand unique characters unique background story suggestion make characters events,1
burik login tidak jaring bagus,-1
keren sayang audio voice ya tidak kecilin main dengar lagu keganggu gara gara sfxnya ngalahin lagu,1
jalan bagus grafik bagus,1
grafik hd sentuh responsif ikon teks menu menu ukur kegedean tidak enak dipandang pas battel kaya kepotong theme color gelap gift player new jelek abis harga summon mahal cenah,1
bagus saran kembang slot atma tidak kuat musuhnya ngumpulin atma gabung suka slot sayang buang tidak pas gacha kumpulin atma gabung slot,-1
keren banget main pakai bahasa indonesia pakai bhs inggris jaring lag jaring stabil force close semangat developer,1
dibuatkan app khusus laptop pc main laptop pc emulator,1
tunggu hero hero unik indonesia enjoy main,1
ribet login daftar tidak gmail atw fb install apk uninstall ribet dah pokok,-1
bagus atma tolong tata ulang skill skill kontra bingung nambah energinya fitur friend ditampilkan ditunggu tunggu hehehe semangat kembang,1
suka banget story karakter imut keren lucu komplain loading aj lambat nyentuh layar tidak respons overall seru banget dinikmati,1
senang developer indonesia bagus milik harga gacha mahal diturunkan diamond spin loading menggangu main animasi battle ditingkatkan sediakan fitur discard atma tidak pakai overall bagus,1
seru recoment banget bahasa indonesia tetep keren heronya ya,1
kolaborasi hantu negeri kak main,1
kerenn bngt si parahhh rekomend bngtt pkonyaa seru tidak pelit jalan seruuu intinya kaliann donlot iniii,1
force close unistall males gacha ampas susah hero atma pelit,-1
mohon maaf tutorial summon summon kadang recconect jaring bagus,1
hd minat kembangkan cobak contoh afk gambar grafik bagus referensi good job,1
lawak banget indonesia tidak ganti bahasa indonesia,-1
bagus atma ny susah,1
really good experience inspired indonesia folklore,1
bagus betah main buka negara tolong opsi bahasa barusan buka pilih bahasa kunci terimakasih semangat developer,1
seru banget turn base card cuman bilang semangat kak tingkat grafis bagus banget charakter,1
indonesian horror idle rpg favorit nyari kerennya code atma racik karakter sistem konten alur cerita musik efek suara gilaaa sistem tarung asyik simpel rekomen banget deh install code atma dijamin hanyut ceritanya kuaaat banget,1
lemah bgt reconect coba ditingkatkan lg min,1
bjir bagus ceritanta ditambah themesong dominasi alur cerita l,-1
bagus seru isi bosan bagus main oke tidak bug eror ingame bahasa indonesianya tidak bahasa inggris tolong update tambahkan fitur bahasa indonesia terima,1
seru banget aksinya moga,1
gme asli indonesia waw bangga nama indonesia im proud indonesian people suka banget app wajib download,1
aj manual attack kunci,1
bintang bicara males komentar,1
mantul kembangkan min n biar seru,1
bagus bingung v tidak apalah bagus segi grafis oke,1
min yah maen code atma hpku optimalin,1
owh thx ya main nge lag kadang hitam gpp bagus,1
uwu indonesia lumbago farming offline gacha drawnya lumbago grafiknya lumbago karakter pandawa superhero indonesia collab webtoon nusantara droid war seru terimakasih hibur moga notice,1
tema nusantara bagus coba voice char summon ngeluarin skill,1
bahasa story tidak ganti bahasa indonesia,1
ganti hp sadar nyata hp lemot best,1
bahaya lupa terimakasih berkat habis,1
mantap gan karya anak bangsa,1
bagus berat next moga ringan,1
liat story art sound bgus battle charachter tajem char battle rang star ya,-1
bagus mamang saran tiket fght club cuman,1
alur bagus serem keren banget keren banget,1
bagus suka banget ditnggu ya btw karakter romance dg karakter perempuan biar bagus,1
keren banget saran bahasa indonesia,1
tidak pakai akun fb kemaren bind akun fb login tidak apk,-1
bagus banget saran tolong fitur skip tutorial pas fitur ganti akun akun ganti ribet hapus data tutorial login ribet banget mohon dipertimbangkan,1
kak mo bintang suai ekspektasi liat koment gambar gambar komik ndw inspirasi komik trsebut nanya komik favorite hhee,1
warga indonesia bagus kedepan update tingkatin animasi battle summon fitur komunikasi atma good job agate,1
keren bagus harap visual sound ditingkatkan makasih min maju indonesia,1
bagus fitur tarik tidak mudah bagus,1
sistem gacha tidak ampas mudah player kumpul atma proses progressing sukses agate,1
keren indonesia sekeren sfx grafisnya keren hd karakter main jujur banget habis pelit susah setia gacha tidak kesahnya lumbago rada ngebug moga diperbaiki,1
bonus limpah pas sulit atma diperoleh lemah sumber daya demgan bonus afk bonus login sabar atma bagus indonesia banget terima kasih saran sistem rebirth atma atma level hilang atma biaya kristal,1
segi grafik bagus alur cerita bagus cumak akun ilang atma bintang kalok ngulang males alur cerita tau yah tidak bintang semangat gini semangat yah,1
sdh bagus story oke update tolong tambahkan animasi skill ya dev biar ramai pas ultimate hehe,1
player tidak ikutin saran install ulang sampe tidak,-1
close sendirii apusin apk jalan latar close buka atma summon dll,-1
penasaran bgt wkekekekkeke sukses bagusin grafik ui aamiin,1
ayolah indonesia negara sulit nyari resources,-1
dear developer segi story gameplay mohon tingkatkan grafis alam,1
nyoba moga dipermudah dpet,1
bagus hadiah event prizepool arrival sura kadang kadang tidak masuk lambat masuk tolong perbaiki,-1
gim idle rpg dicampur konsep galge lumbago suka sistem turn base sistem turn base temui milih lawan dihajar gim turn base otomatis mainin jurus gereget pas atma ngincer musuh hp musuh dah sekarat sakit banget dah oke nice agate,1
kadang suka infinite loop equipment chest summon atma dll overall bagus cuman infinite loop kadang ganggu tolong rework stats atma stat atma utama atma sura,1
emang best kasih rate 5 start,1
bagus tpi atma bintng upgrade bintng min krna genre strategi player leluasa atur taktik teknik tempur terima,1
ya bagus skill ya jadikan bahan indonesia ngerti kalok pakek bahasa inggris,1
seru banget storylinenya hasilin gold susah gampang hasilin berlian dimudahkan ya kak developer,1
neeh loading hp ram bintang yaa,-1
hantu indonesia cantik noni cantik surti cantik surti bintang,1
si noni cantik bangett sura grafik suara alur cerita tidak diamond susah salah battle lag bug dimana atma tidak tarung teken pause speed auto asi alur ceritanya ditambahin ya selesai ceritanya best hp ram gb bagus,1
grafik alur bagus tolong imbang battel point musuh kadang tidak ngotak musuh kuat banget,1
asyik tpi saran tokoh utama tokoh dukung laku tindak scene sound efek kaya pc asyik,1
yeayyy suka banget story gameplaynya jenis rpg tidak bosenin sayang banget semangat ngembangin,1
bagus jaring tolong perbaiki,-1
bagus tarik rate lumbago ngotak kadang susah banget gacha bagus banget illustrasi cakep cakep bgm mantep ya sfx error kayak kencang sfx skill agni kenceng banget sampe telinga sakit tolong benerin tidak agni doang atma sfx kekencengan,1
oke banget seru haha thanks,1
bagus tolong stabil jengkel loading,1
santuy seru gas keuunn euuyy,1
awesome tidak expect seru lihat idle mainin paham cerita kagum tonton film konten tarik tarik tampilan kualitas ukur sahabat semangat developer moga maju thankyou,1
bagus cerita seru atma keren semangat developer code atma kenal dunia,1
chapter keatas kgk ngasih standart battle point atma lv lawan atma lv kalah mati mulu anjir turunin woy standartny,-1
keren bagus kayak nyata,1
fitur speed batle nunggu batle bagus fitur skip batle,1
story line penuh arif lokal mudah mudahan kedepan keren grafis salut jempol developer,1
bagus tinggal ditambahin fitur leaderboard pvp chat dll biar tidak bosen indopride,1
main hri tidak cuman gini ya respons cepat card batle bagus karakter nge random attack hny sj jdi maslah utk ngeluarin susah jujur susah banget knp serang cpt acak respons player jdi bingung ngeluarin update dpn tlng dikurangi dikit engaknya ilah player chance utk ngeluarin jurus hero biarpun acak,1
suka saran simpan atma ditambah,1
sumpah bagus banget dah,1
hai indonesia ayo coba mainkan idle seru lho stimulasi tetep war bagus jenis makhluk tidak nyeremin mah main cowok seneng becanda,1
sampe kebawa mimpi kasna istri hehehe developer tidak kalah canggih dah mantap lanjutken,1
regional launch pakai bahasa inggris update opsi bahasa indonesia gameplaynya role based smooth overall ui kaku iring dipoles terima kasih indonesia butuh generasi kreatif kakak kakak developer kali,1
uninstall bug parah bgt jaring aplikasi sayang banget idle gamesnya lumbago seru server tidak rawat,-1
cintai produk produk indonesia,1
semangat developer indonesia dh bagus lag,1
bagus tidak ngebosenin bagus bagus ubah tidak doang ekspresi gerak,1
keren dukun mah dukun dimulator ngendaliin setan,-1
ya bagus cerita tidak bosan mainnya lag jaring ya,1
style kaya persona gg,1
tambahkan fitur share atma,1
maaf bintang update kemarin tidak main stuck menu,1
bagus suka cm update lumbago masuk update file reward update biar semangat,1
mantap bnget seru tarik klw lgi,1
seru tolong optimalkan lag black screen overall seru cuman bagus kasih voice bagus,1
bagus gatcha rate tolong diperbaiki new player diawal gatcha motivasi trims,1
update ny muncul tidak sabar,1
pikir horror action robotic dah keren keren indonesia rilis idle rpg main sampe chap masuk nemu bug pas fragmen pocong gabisa disatuin ilang pas restart selesai chap notif claim selesai selesai chap gabisa claim pas stage saran tolong transisi thx,1
tidak ganti bahasa indonesia pas cerita bahasa indonesia inggris,-1
keren hidupnya gacha cocok,1
wahhh serunih bahasa indonesia tidak,1
gampang tinggal nyusun kombinasi atma lumbago ukur hp bug kadang poin lawan player sulit dikalahkan,-1
bagus segi cerita battel kadang muncul error harap diperbaiki moga chapter update,1
keren alur bagus bagus keren,1
kesah sebulan main kesan keren saran item upgrade mahal lha anjir susah lvl tetep recommended kog semangat developer best players tunggu update event,1
segi bagus banget tpi mohon tambahkan fitur change akun biar hisa akun ehhehe semangat,1
karya anak bangsa disupport main characternya character tidak diragukan keren parah suka tidak kalah keren polisi nama chara atmanya keren abis nama siluman urban legend indonesia diamond tidak top gold gampang mainin doang intinya keren parah,-1
tolong perbaiki draw guarantee bintang biar gacha uang tidak terbohongi player jufa butuh treatment dev cari uang gacha player seneng guarantee bintang setiak gacha gacha yangvharus penuhi bintang sistem gacha cari untung,-1
sanganga puas bagus bgt gelag yah,1
lumbago pergerakkan gambar atmanya kaku tingkatkan kualitas atmanya atmanya arif top ditinggalkan main top maju indonesia semangat,1
coba karya anak bangsa,1
seru banget gem sebener bintang cuman,1
seru bgt tidak bosen,1
andai turn base rpg kaya suikoden ff seru parah,1
bagus banget ditambah lagu rinding malam,1
suai ekspektasi ya oke pengunduhan file file error padah nonton yt resolusi lancarl lancar lancar kian,1
keren story bagus suka,1
mainkan alur penuh misteri tantang developer tunggu update ya story mode tamat tinggal langkah lg tunggu bot exp habis gold haha sukses ya q tarik thank,1
charachter bagus nuansa nusantara kental versi pc,1
semenjak update tidak ganti bahasa ya,1
tarik unik play bagus,1
pentunjuk ngak tau ampas,-1
permisi bahasa diubah bahasa indonesia tidak bahasa inggris tidak erti alur ceritanya suka diubah bahasa indonesia terima,1
tarik simple ajar heronya level susah ngalahin ngerti hero op,1
fitur gacha tolong info list atma gacha hero bintang anggatri gacha summon rate sweta lohita summon rate kandita arjuna tolong atma manfaat buff atk kandita manfaat buff atk terimakasih moga kembang,1
nice lokal pertahankan yak semangaat,1
bagus indonesia tinggal event mudah aj biar tidak cepat bosen,-1
