content,score,text_processed,topic
"Game nya bagus sebenernya, tp busuk banget servernya, dikit dikit menghubungkan, padahal buat main game lain lancar, buat YouTube aja lancar, tp pas buka ini game tiap pencet apa menghubungkan, pencet ini menghubungkan jadi males mainnya",2,bagus busuk banget servernya dikit dikit hubung lancar youtube lancar pas buka pencet hubung pencet hubung males,koneksi
"Ga bsa di mainkn bru instal pas masuk semua lyarny hitam yg ad cma suarany, auto pindah game sebelah",1,tidak mainkan instal pas masuk layarnya hitam cma suarany auto pindah belah,koneksi
"Dari segi gameplay bagus, storynya juga menarik",5,segi gameplay bagus tarik,bahasa atau cerita
Mantap ni game.. game play bagus.. story bagus.. sama ane demen banget ama battle musiknya bikin semangat.. bagusla.. saran saya.. adain fitur reset hero supaya resources nya bisa balik lagi sma tolong story modenya d lanjutkan lagi.. itu aja dlu.. tetap berkembang ya.. maju terus dev indonesia 👍✊,5,play bagus story bagus suka banget battle semangat bagusla saran fitur reset hero resources sma tolong story modenya lanjutkan kembang ya maju dev indonesia,bahasa atau cerita
Tolong kembangkan menjadi game yang mirip dengan pokemon go :),5,tolong kembangkan pokemon go,karya bangsa
"Terlalu berat untuk ram 3gb,jadi g bisa main padahal kulihat seru TvT",4,berat ram tidak main kulihat seru tvt,perangkat hp
"jujur ini game harusnya bagus banget, dari segi gameplay, story, event, cuma masi banyak banget kekurangannya. BACA INI DEVELOPER AGATE GAMES! Dari material ascend star character yang terlalu susah menurut saya kurangin materialnya, terus dari segi fitur yang menurut saya kurang banget, harus ada fitur balikin level karakter ke level 1 biar memudahkan player mencari material level up, YANG LEBIH PARAH KETIKA ASCEND STAR HERO PAKE MATERIAL HERO LEVEL TINGGI GA DIBALIKIN MATERIAL LEVEL UP HERONYA!",2,jujur bagus banget segi gameplay story event banget baca developer agate games material ascend star character susah segi fitur banget fitur balikin level karakter level mudah player cari material level parah ascend star hero pake material hero level tidak dibalikin material level,bahasa atau cerita
"saya suka tapi drop ratenya naikin biar dapet B5, terus slot atmanya terlalu sedikit boros diamond kalo harus beli terus untuk nambah slot atma di inventori atma, dan reset atma karena cari bahan untuk up atma susah, masa harus ancuruin atma padahal lumayan buat bahan up bintang, makasih :)",5,suka drop naikin slot boros diamond beli nambah slot atma inventori atma reset atma cari bahan atma susah ancuruin atma lumbago bahan bintang,bahasa atau cerita
SUPPORT New update version kompatibel device Realme C 30 architecture Arm7,5,support new update version kompatibel device realme c 30 architecture,perangkat hp
"Gamenya sangat menarik, membuat nostalgia dengan game Brave Frontier. Semoga kedepannya game ini bisa berkembang lebih jauh dan mengeluarkan semua mahkluk mitologi dari Nusantara",5,tarik nostalgia brave frontier moga kedepannya kembang makhluk mitologi nusantara,karya bangsa
Ga tau kenapa ga bisa login. Jadi harus login pake guest habis itu selesai tutorial awal malah ngeblank,2,tidak tau tidak pake guest habis selesai tutorial ngeblank,koneksi
"Setelah 3 hari main terasa berat bgt, boros btre, bikin hp panas padahal pke power saving, utk game sendiri sangat membosankan, gak ada fitur reset LV, jadi lu harus naikin dr awal hero baru. Poin plusnya itu dr skill yg bisa di combo itu bagus bgt.",1,main berat bgt boros btre hp panas pke power saving utk bosan tidak fitur reset lv lu hero poin plusnya skill combo bagus bgt,bahasa atau cerita
