Below,Topics,Alpha,Beta,Coherence
2,2,auto,auto,-2.5407019047097785
2,3,auto,auto,-2.502785108751224
2,4,auto,auto,-2.5632337652242874
2,5,auto,auto,-2.627468800731461
2,6,auto,auto,-2.681699631155043
2,7,auto,auto,-2.5707886248465335
2,8,auto,auto,-2.683339630979404
2,9,auto,auto,-2.8589240888467295
3,2,auto,auto,-2.521113843518051
3,3,auto,auto,-2.551740345526548
3,4,auto,auto,-2.626665966262661
3,5,auto,auto,-2.6566910287948184
3,6,auto,auto,-2.6440540947676605
3,7,auto,auto,-2.716043532556543
3,8,auto,auto,-2.7046056785436567
3,9,auto,auto,-3.1302769654880445
4,2,auto,auto,-2.5477187152748857
4,3,auto,auto,-2.605558786344213
4,4,auto,auto,-2.6900298720083544
4,5,auto,auto,-2.777534645776726
4,6,auto,auto,-2.803363738824395
4,7,auto,auto,-2.7571432800646387
4,8,auto,auto,-2.754565204815572
4,9,auto,auto,-2.970895452997533
5,2,auto,auto,-2.5459394337788153
5,3,auto,auto,-2.5622984633707966
5,4,auto,auto,-2.7874410678183206
5,5,auto,auto,-2.6616652956505784
5,6,auto,auto,-2.70788398954303
5,7,auto,auto,-2.7717916111476697
5,8,auto,auto,-3.019621363444795
5,9,auto,auto,-2.9844678454697773
