Below,Topics,Alpha,Beta,Coherence
2,2,0.01,0.01,-2.664820729829149
2,2,0.01,0.31,-2.6575913718281607
2,2,0.01,0.61,-2.693219725342786
2,2,0.01,0.9099999999999999,-2.6749653413583303
2,2,0.01,symmetric,-2.699488391013716
2,2,0.31,0.01,-2.9006988059382177
2,2,0.31,0.31,-2.8224155224678302
2,2,0.31,0.61,-2.8422589246628567
2,2,0.31,0.9099999999999999,-2.8924607363969534
2,2,0.31,symmetric,-2.9588070751752618
2,2,0.61,0.01,-2.8415190431242445
2,2,0.61,0.31,-2.878246829486552
2,2,0.61,0.61,-3.0455709007340683
2,2,0.61,0.9099999999999999,-3.0567465657668857
2,2,0.61,symmetric,-2.9154529847356905
2,2,0.9099999999999999,0.01,-2.9298292919595044
2,2,0.9099999999999999,0.31,-2.9612623421155995
2,2,0.9099999999999999,0.61,-3.0019388272907523
2,2,0.9099999999999999,0.9099999999999999,-3.005612158993558
2,2,0.9099999999999999,symmetric,-2.9913233962678123
2,2,symmetric,0.01,-2.9318001772754454
2,2,symmetric,0.31,-2.924429124623431
2,2,symmetric,0.61,-2.880496751517831
2,2,symmetric,0.9099999999999999,-3.121815874205856
2,2,symmetric,symmetric,-2.8253248873173744
2,2,asymmetric,0.01,-3.4914255864630883
2,2,asymmetric,0.31,-11.237827433247027
2,2,asymmetric,0.61,-10.886025292489443
2,2,asymmetric,0.9099999999999999,-10.776866479767822
2,2,asymmetric,symmetric,-11.125097173198927
2,3,0.01,0.01,-2.820165903711036
2,3,0.01,0.31,-2.7673639462428166
2,3,0.01,0.61,-2.8307127575148243
2,3,0.01,0.9099999999999999,-2.7912138965450226
2,3,0.01,symmetric,-2.7914593530519554
2,3,0.31,0.01,-3.0960545617557327
2,3,0.31,0.31,-2.922190676818083
2,3,0.31,0.61,-2.9389466438281127
2,3,0.31,0.9099999999999999,-2.9532721763250525
2,3,0.31,symmetric,-2.9298704828300846
2,3,0.61,0.01,-2.941997855250501
2,3,0.61,0.31,-3.1283854478615756
2,3,0.61,0.61,-3.134349510073702
2,3,0.61,0.9099999999999999,-3.180716348820375
2,3,0.61,symmetric,-3.0901583856221375
2,3,0.9099999999999999,0.01,-2.9749172231996646
2,3,0.9099999999999999,0.31,-3.0236865458704627
2,3,0.9099999999999999,0.61,-3.020781633906641
2,3,0.9099999999999999,0.9099999999999999,-3.029508785031027
2,3,0.9099999999999999,symmetric,-3.018378095076662
2,3,symmetric,0.01,-3.0762447376409745
