Below,Topics,Alpha,Beta,Coherence
5,6,0.01,0.01,-3.231869612463829
5,6,0.01,0.31,-3.5273970648082504
5,6,0.01,0.61,-3.4324072063903466
5,6,0.01,0.9099999999999999,-3.416265446887198
5,6,0.01,symmetric,-3.4209085194010673
5,6,0.31,0.01,-4.910878034119325
5,6,0.31,0.31,-4.511277503349658
5,6,0.31,0.61,-4.105089357338193
5,6,0.31,0.9099999999999999,-3.8431464649313973
5,6,0.31,symmetric,-4.76290537901677
5,6,0.61,0.01,-4.752080992373883
5,6,0.61,0.31,-4.258470235722071
5,6,0.61,0.61,-3.697844004083484
5,6,0.61,0.9099999999999999,-3.9099283705411954
5,6,0.61,symmetric,-4.393942077308551
5,6,0.9099999999999999,0.01,-4.367140746202018
5,6,0.9099999999999999,0.31,-3.466734389093
5,6,0.9099999999999999,0.61,-3.017898581055704
5,6,0.9099999999999999,0.9099999999999999,-2.730641688300457
5,6,0.9099999999999999,symmetric,-4.050018269263274
5,6,symmetric,0.01,-3.8511745560594997
5,6,symmetric,0.31,-4.013530354077742
5,6,symmetric,0.61,-4.014285963135971
5,6,symmetric,0.9099999999999999,-3.5338647076283585
5,6,symmetric,symmetric,-3.8093682177931645
5,6,asymmetric,0.01,-8.750146178190302
5,6,asymmetric,0.31,-10.658023569096864
5,6,asymmetric,0.61,-10.875467565535159
5,6,asymmetric,0.9099999999999999,-11.912919068160997
5,6,asymmetric,symmetric,-12.457905945439146
5,7,0.01,0.01,-3.4980105282628826
5,7,0.01,0.31,-3.5862443957724186
5,7,0.01,0.61,-3.578598389323275
5,7,0.01,0.9099999999999999,-3.6787824808138176
5,7,0.01,symmetric,-3.5215680079395897
5,7,0.31,0.01,-5.091590628864303
5,7,0.31,0.31,-4.962971994843451
5,7,0.31,0.61,-4.707067621420772
5,7,0.31,0.9099999999999999,-4.457689596055653
5,7,0.31,symmetric,-5.114338562686493
5,7,0.61,0.01,-5.100074676203842
5,7,0.61,0.31,-4.325027348340174
5,7,0.61,0.61,-3.991641659768604
5,7,0.61,0.9099999999999999,-3.759072739628202
5,7,0.61,symmetric,-4.864054615409601
5,7,0.9099999999999999,0.01,-4.989736593227845
5,7,0.9099999999999999,0.31,-3.4014735962496987
5,7,0.9099999999999999,0.61,-2.8605845491983937
5,7,0.9099999999999999,0.9099999999999999,-2.6223229780527317
5,7,0.9099999999999999,symmetric,-4.581787336369154
5,7,symmetric,0.01,-4.766359068957243
