Below,Topics,Alpha,Beta,Coherence
3,2,0.01,0.01,-2.73495482079849
3,2,0.01,0.31,-2.728639284116704
3,2,0.01,0.61,-2.7080104651005854
3,2,0.01,0.9099999999999999,-2.732252106721006
3,2,0.31,0.01,-2.7281209799529744
3,2,0.31,0.31,-2.6928779515716124
3,2,0.31,0.61,-2.7137054478521625
3,2,0.31,0.9099999999999999,-2.7483933477827462
3,2,0.61,0.01,-2.775337424741336
3,2,0.61,0.31,-2.715679733538977
3,2,0.61,0.61,-2.8095502111429846
3,2,0.61,0.9099999999999999,-2.8305747045631837
3,2,0.9099999999999999,0.01,-2.7940774663631505
3,2,0.9099999999999999,0.31,-2.802657130850807
3,2,0.9099999999999999,0.61,-2.7545243578180116
3,2,0.9099999999999999,0.9099999999999999,-2.7333097752497544
3,3,0.01,0.01,-2.8763672073683892
3,3,0.01,0.31,-2.938199544685579
3,3,0.01,0.61,-2.933528685914449
3,3,0.01,0.9099999999999999,-2.946515245020713
3,3,0.31,0.01,-2.992716348440775
3,3,0.31,0.31,-3.01309835269157
3,3,0.31,0.61,-3.037471239872937
3,3,0.31,0.9099999999999999,-3.022370802044028
3,3,0.61,0.01,-2.9549102495107973
3,3,0.61,0.31,-3.0314111926458924
3,3,0.61,0.61,-3.042415036934429
3,3,0.61,0.9099999999999999,-2.965513950828278
3,3,0.9099999999999999,0.01,-2.9651561120955505
3,3,0.9099999999999999,0.31,-2.9226245819285253
3,3,0.9099999999999999,0.61,-2.9223889473334648
3,3,0.9099999999999999,0.9099999999999999,-2.9897200907324213
3,4,0.01,0.01,-2.956132107076993
3,4,0.01,0.31,-2.865279943030292
3,4,0.01,0.61,-3.007721803522639
3,4,0.01,0.9099999999999999,-2.9643718268478527
3,4,0.31,0.01,-3.1230929853806653
3,4,0.31,0.31,-3.1310111971650665
3,4,0.31,0.61,-3.1932650227067585
3,4,0.31,0.9099999999999999,-3.1915364932726735
3,4,0.61,0.01,-3.342400137311864
3,4,0.61,0.31,-3.372893450551215
3,4,0.61,0.61,-3.38273031894052
3,4,0.61,0.9099999999999999,-3.4130961780176996
3,4,0.9099999999999999,0.01,-3.1470569370167896
3,4,0.9099999999999999,0.31,-3.323703621520557
3,4,0.9099999999999999,0.61,-3.3177606881497486
3,4,0.9099999999999999,0.9099999999999999,-3.3508764316704385
3,5,0.01,0.01,-3.100708394737827
3,5,0.01,0.31,-3.1387697132232444
3,5,0.01,0.61,-2.9540678687715536
3,5,0.01,0.9099999999999999,-3.0027408592456073
3,5,0.31,0.01,-3.211834369273082
3,5,0.31,0.31,-3.2810444493429998
3,5,0.31,0.61,-3.2439863498744543
3,5,0.31,0.9099999999999999,-3.3273203985547113
3,5,0.61,0.01,-3.302890231721899
3,5,0.61,0.31,-3.3804706412021353
3,5,0.61,0.61,-3.3883436201489077
3,5,0.61,0.9099999999999999,-3.3690846623994566
3,5,0.9099999999999999,0.01,-3.370736110457295
