Below,Topics,Alpha,Beta,Coherence
2,2,0.01,0.01,-2.61773688075019
2,2,0.01,0.31,-2.676462015701322
2,2,0.01,0.61,-2.728840422482489
2,2,0.01,0.9099999999999999,-2.7189341614885834
2,2,0.31,0.01,-2.6956567863426812
2,2,0.31,0.31,-2.696060085997503
2,2,0.31,0.61,-2.7016396162851253
2,2,0.31,0.9099999999999999,-2.7027198298867305
2,2,0.61,0.01,-2.6949715245502768
2,2,0.61,0.31,-2.725666505481067
2,2,0.61,0.61,-2.719246674423002
2,2,0.61,0.9099999999999999,-2.747814088664892
2,2,0.9099999999999999,0.01,-2.6837412445593496
2,2,0.9099999999999999,0.31,-2.7231854102187705
2,2,0.9099999999999999,0.61,-2.742402135210082
2,2,0.9099999999999999,0.9099999999999999,-2.7418360526321424
2,3,0.01,0.01,-2.8270898179602937
2,3,0.01,0.31,-2.8322336481816195
2,3,0.01,0.61,-2.766244073767963
2,3,0.01,0.9099999999999999,-2.7543340861105268
2,3,0.31,0.01,-3.037884102869446
2,3,0.31,0.31,-3.0203409784382296
2,3,0.31,0.61,-3.0540613394902736
2,3,0.31,0.9099999999999999,-2.9776403815315806
2,3,0.61,0.01,-2.94145301651595
2,3,0.61,0.31,-2.966037768098601
2,3,0.61,0.61,-2.983930973337374
2,3,0.61,0.9099999999999999,-2.99320972223097
2,3,0.9099999999999999,0.01,-2.877436843205454
2,3,0.9099999999999999,0.31,-2.853977955562201
2,3,0.9099999999999999,0.61,-2.8692689048531412
2,3,0.9099999999999999,0.9099999999999999,-2.8910160041969846
2,4,0.01,0.01,-2.7367956895173786
2,4,0.01,0.31,-2.719768751002229
2,4,0.01,0.61,-2.71759739978705
2,4,0.01,0.9099999999999999,-2.763889873882525
2,4,0.31,0.01,-2.88100643495236
2,4,0.31,0.31,-2.8639602732658958
2,4,0.31,0.61,-2.8529989696645623
2,4,0.31,0.9099999999999999,-2.913716690473273
2,4,0.61,0.01,-2.9106023807599213
2,4,0.61,0.31,-2.9960503009025214
2,4,0.61,0.61,-2.99678455920154
2,4,0.61,0.9099999999999999,-3.064132576814756
2,4,0.9099999999999999,0.01,-2.7954247279596673
2,4,0.9099999999999999,0.31,-2.7865509185620394
2,4,0.9099999999999999,0.61,-2.929069308797941
2,4,0.9099999999999999,0.9099999999999999,-2.9840126417091417
2,5,0.01,0.01,-2.943319861107414
2,5,0.01,0.31,-2.8492331550566874
2,5,0.01,0.61,-2.8363517918636334
